period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2016Q4,Oct to Dec 2016,Kakamega County,Lugari Sub County,Lugari Ward,23,0,23
2016Q4,Oct to Dec 2016,Kakamega County,Lugari Sub County,Lumakanda Ward,7,2,5
2016Q4,Oct to Dec 2016,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,27,0,27
2016Q4,Oct to Dec 2016,Bungoma County,Sirisia Sub County,Lwandanyi Ward,264,0,264
2016Q4,Oct to Dec 2016,Kakamega County,Lugari Sub County,Lwandeti Ward,5,0,5
2016Q4,Oct to Dec 2016,Vihiga County,Sabatia Sub County,Lyaduywa/Izava Ward,10,0,10
2016Q4,Oct to Dec 2016,Garissa County,Lagdera Sub County,Maalamin Ward,0,0,0
2016Q4,Oct to Dec 2016,Nairobi County,Mathare Sub County,Mabatini Ward,26,0,26
2016Q4,Oct to Dec 2016,Migori County,Nyatike Sub County,Macalder/Kanyarwanda Ward,155,16,139
2016Q4,Oct to Dec 2016,Machakos County,Machakos Sub County,Machakos Central Ward,168,1,167
2016Q4,Oct to Dec 2016,Trans Nzoia County,Saboti Sub County,Machewa Ward,14,0,14
2016Q4,Oct to Dec 2016,Kwale County,Kinango Sub County,Mackinon Road Ward,147,3,144
2016Q4,Oct to Dec 2016,Tana River County,Bura Sub County,Madogo Ward,142,14,128
2016Q4,Oct to Dec 2016,Nakuru County,Naivasha Sub County,Maeilla Ward,44,0,44
2016Q4,Oct to Dec 2016,Bungoma County,Kimilili Sub County,Maeni Ward,33,2,31
2016Q4,Oct to Dec 2016,Kajiado County,Kajiado West Sub County,Magadi Ward,174,70,104
2016Q4,Oct to Dec 2016,Kilifi County,Magarini Sub County,Magarini Ward,135,1,134
2016Q4,Oct to Dec 2016,Kisii County,Bomachoge Borabu Sub County,Magenche Ward,64,6,58
2016Q4,Oct to Dec 2016,Mombasa County,Kisauni Sub County,Magogoni Ward,1,0,1
2016Q4,Oct to Dec 2016,Nyamira County,Manga Sub County,Magombo Ward,19,3,16
2016Q4,Oct to Dec 2016,Tharaka Nithi County,Chuka Sub County,Magumoni Ward,31,3,28
2016Q4,Oct to Dec 2016,Nyandarua County,Kinangop Sub County,Magumu Ward,13,1,12
2016Q4,Oct to Dec 2016,Nyeri County,Mathira East Sub County,Magutu Ward,11,0,11
