period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2020Q2,Apr to Jun 2020,Bomet County,Bomet East Sub County,Kipreres Ward,77,0,77
2020Q2,Apr to Jun 2020,Uasin Gishu County,Soy Sub County,Kipsomba Ward,13,0,13
2020Q2,Apr to Jun 2020,Bomet County,Sotik Sub County,Kipsonoi Ward,56,0,56
2020Q2,Apr to Jun 2020,Nakuru County,Kuresoi South Sub County,Kiptagich Ward,86,1,85
2020Q2,Apr to Jun 2020,Nakuru County,Kuresoi North Sub County,Kiptororo Ward,94,0,94
2020Q2,Apr to Jun 2020,Nandi County,Chesumei Sub County,Kiptuiya Ward,9,0,9
2020Q2,Apr to Jun 2020,Embu County,Manyatta Sub County,Kirimari Ward,39,0,39
2020Q2,Apr to Jun 2020,Nyeri County,Mathira West Sub County,Kirimukuyu Ward,1,0,1
2020Q2,Apr to Jun 2020,Nyandarua County,Ndaragwa Sub County,Kiritta Ward,17,0,17
2020Q2,Apr to Jun 2020,Muranga County,Mathioya Sub County,Kiru Ward,29,0,29
2020Q2,Apr to Jun 2020,Kakamega County,Khwisero Sub County,Kisa Central Ward,33,0,33
2020Q2,Apr to Jun 2020,Kakamega County,Khwisero Sub County,Kisa East Ward,43,0,43
2020Q2,Apr to Jun 2020,Kakamega County,Khwisero Sub County,Kisa North Ward,45,0,45
2020Q2,Apr to Jun 2020,Kakamega County,Khwisero Sub County,Kisa West Ward,32,2,30
2020Q2,Apr to Jun 2020,Baringo County,Mogotio Sub County,Kisanana Ward,30,0,30
2020Q2,Apr to Jun 2020,Kitui County,Kitui Rural Sub County,Kisasi Ward,50,6,44
2020Q2,Apr to Jun 2020,Kericho County,Bureti Sub County,Kisiara Ward,89,1,88
2020Q2,Apr to Jun 2020,Kisii County,Nyaribari Chache Sub County,Kisii Central Ward,68,3,65
2020Q2,Apr to Jun 2020,Meru County,Buuri Sub County,Kisima Ward,17,0,17
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu West Sub County,Kisumu North Ward,25,0,25
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado East Sub County,Kitengela Ward,42,11,31
2020Q2,Apr to Jun 2020,Makueni County,Mbooni Sub County,Kiteta-kisau Ward,37,0,37
2020Q2,Apr to Jun 2020,Machakos County,Yatta Sub County,Kithimani Ward,6,0,6
2020Q2,Apr to Jun 2020,Embu County,Manyatta Sub County,Kithimu Ward,21,0,21
2020Q2,Apr to Jun 2020,Makueni County,Mbooni Sub County,Kithungo/Kitundu Ward,74,15,59
2020Q2,Apr to Jun 2020,Makueni County,Makueni Sub County,Kitise/Kithuki Ward,32,2,30
2020Q2,Apr to Jun 2020,Nairobi County,Westlands Sub County,Kitisuru Ward,4,0,4
2020Q2,Apr to Jun 2020,Kisii County,Kitutu Chache South Sub County,Kitutu Central Ward,63,1,62
2020Q2,Apr to Jun 2020,Lamu County,Lamu East Sub County,Kiunga Ward,10,0,10
2020Q2,Apr to Jun 2020,Kiambu County,Ruiru Sub County,Kiuu Ward,189,0,189
2020Q2,Apr to Jun 2020,Machakos County,Masinga Sub County,Kivaa Ward,45,1,44
2020Q2,Apr to Jun 2020,Kitui County,Mwingi Central Sub County,Kivou Ward,10,0,10
2020Q2,Apr to Jun 2020,Nakuru County,Nakuru East Sub County,Kivumbuni Ward,0,0,0
2020Q2,Apr to Jun 2020,West Pokot County,Pokot North Sub County,Kiwawa Ward,20,1,19
2020Q2,Apr to Jun 2020,Nandi County,Aldai Sub County,Kobujoi Ward,51,0,51
2020Q2,Apr to Jun 2020,Kisumu County,Nyando Sub County,Kobura Ward,43,0,43
2020Q2,Apr to Jun 2020,Homa Bay County,Rangwe Sub County,Kochia Ward,57,4,53
2020Q2,Apr to Jun 2020,West Pokot County,Pokot North Sub County,Kodich Ward,37,0,37
2020Q2,Apr to Jun 2020,Baringo County,Koibatek Sub County,Koibatek Ward,16,0,16
2020Q2,Apr to Jun 2020,Homa Bay County,Kabondo Kasipul Sub County,Kojwach Ward,34,0,34
2020Q2,Apr to Jun 2020,Homa Bay County,Kabondo Kasipul Sub County,Kokwanyo/Kakelo Ward,108,11,97
2020Q2,Apr to Jun 2020,Machakos County,Kalama Sub County,Kola Ward,22,0,22
2020Q2,Apr to Jun 2020,Baringo County,East Pokot Sub County,Kolowa Ward,80,2,78
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu East Sub County,Kolwa Central Ward,18,0,18
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu East Sub County,Kolwa East Ward,46,3,43
2020Q2,Apr to Jun 2020,Nairobi County,Embakasi Central Sub County,Komarock Ward,47,2,45
2020Q2,Apr to Jun 2020,Kiambu County,Githunguri Sub County,Komothai Ward,66,0,66
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu Central Sub County,Kondele Ward,28,3,25
2020Q2,Apr to Jun 2020,Bomet County,Chepalungu Sub County,Kong'asis Ward,20,0,20
2020Q2,Apr to Jun 2020,Kakamega County,Likuyani Sub County,Kongoni Ward,54,0,54
2020Q2,Apr to Jun 2020,Mombasa County,Nyali Sub County,Kongowea Ward,15,1,14
2020Q2,Apr to Jun 2020,Nyeri County,Mathira East Sub County,Konyu Ward,2,0,2
2020Q2,Apr to Jun 2020,Nairobi County,Ruaraka Sub County,Korogocho Ward,39,0,39
2020Q2,Apr to Jun 2020,Wajir County,Wajir North Sub County,Korondile Ward,21,0,21
2020Q2,Apr to Jun 2020,Marsabit County,Laisamis Sub County,Korr/Ngurunit Ward,24,0,24
2020Q2,Apr to Jun 2020,Nandi County,Chesumei Sub County,Kosirai Ward,15,0,15
2020Q2,Apr to Jun 2020,Turkana County,Loima Sub County,Kotaruk/Lobei Ward,24,0,24
2020Q2,Apr to Jun 2020,Nandi County,Aldai Sub County,Koyo/Ndurio Ward,11,0,11
2020Q2,Apr to Jun 2020,Kakamega County,Matungu Sub County,Koyonzo Ward,43,0,43
2020Q2,Apr to Jun 2020,Kwale County,Matuga Sub County,Kubo South Ward,32,0,32
2020Q2,Apr to Jun 2020,Uasin Gishu County,Soy Sub County,Kuinet/Kapsuswa Ward,14,1,13
2020Q2,Apr to Jun 2020,Kajiado County,Loitokitok Sub County,Kuku Ward,53,2,51
2020Q2,Apr to Jun 2020,Kericho County,Kipkelion West Sub County,Kunyak Ward,31,0,31
2020Q2,Apr to Jun 2020,Nandi County,Mosop Sub County,Kurgung/Surungai Ward,12,0,12
2020Q2,Apr to Jun 2020,Mandera County,Kutulo Sub County,Kutulo Ward,36,0,36
2020Q2,Apr to Jun 2020,Nairobi County,Embakasi South Sub County,Kwa Njenga Ward,154,22,132
2020Q2,Apr to Jun 2020,Nairobi County,Embakasi South Sub County,Kwa Reuben Ward,82,1,81
2020Q2,Apr to Jun 2020,Migori County,Suna East Sub County,Kwa Ward,75,2,73
2020Q2,Apr to Jun 2020,Homa Bay County,Ndhiwa Sub County,Kwabwai Ward,74,6,68
2020Q2,Apr to Jun 2020,Kitui County,Kitui West Sub County,Kwamutonga/Kithumula Ward,11,3,8
2020Q2,Apr to Jun 2020,Trans Nzoia County,Kwanza Sub County,Kwanza Ward,160,4,156
2020Q2,Apr to Jun 2020,Nairobi County,Embakasi South Sub County,Kware Ward,4,0,4
2020Q2,Apr to Jun 2020,Kitui County,Kitui Rural Sub County,Kwavonza/Yatta Ward,25,0,25
2020Q2,Apr to Jun 2020,Kitui County,Kitui Central Sub County,Kyangwithya East Ward,21,0,21
2020Q2,Apr to Jun 2020,Kitui County,Kitui Central Sub County,Kyangwithya West Ward,13,0,13
2020Q2,Apr to Jun 2020,Machakos County,Matungulu Sub County,Kyeleni Ward,9,0,9
2020Q2,Apr to Jun 2020,Embu County,Runyenjes Sub County,Kyeni North Ward,10,0,10
2020Q2,Apr to Jun 2020,Embu County,Runyenjes Sub County,Kyeni South Ward,25,1,24
2020Q2,Apr to Jun 2020,Kitui County,Mwingi West Sub County,Kyome/Thaana Ward,21,0,21
2020Q2,Apr to Jun 2020,Kitui County,Mwingi North Sub County,Kyuso Ward,51,0,51
2020Q2,Apr to Jun 2020,Garissa County,Dadaab Sub County,Labisgale Ward,2,0,2
2020Q2,Apr to Jun 2020,Mandera County,Lafey Sub County,Lafey Ward,45,0,45
2020Q2,Apr to Jun 2020,Wajir County,Wajir South Sub County,Lagboghoi South Ward,1,0,1
2020Q2,Apr to Jun 2020,Mandera County,Mandera West Sub County,Lagsure Ward,11,0,11
2020Q2,Apr to Jun 2020,Nairobi County,Kibra Sub County,Laini Saba Ward,50,2,48
2020Q2,Apr to Jun 2020,Marsabit County,Laisamis Sub County,Laisamis Ward,33,0,33
2020Q2,Apr to Jun 2020,Nakuru County,Naivasha Sub County,Lake View Ward,9,0,9
2020Q2,Apr to Jun 2020,Turkana County,Turkana North Sub County,Lakezone Ward,47,19,28
2020Q2,Apr to Jun 2020,Wajir County,Eldas Sub County,Lakoley South/Basir Ward,9,0,9
2020Q2,Apr to Jun 2020,Homa Bay County,Mbita Sub County,Lambwe Ward,65,6,59
2020Q2,Apr to Jun 2020,Nairobi County,Starehe Sub County,Landimawe Ward,62,3,59
2020Q2,Apr to Jun 2020,Nakuru County,Nakuru North Sub County,Lanet/Umoja Ward,8,0,8
2020Q2,Apr to Jun 2020,Uasin Gishu County,Kapseret Sub County,Langas Ward,16,0,16
2020Q2,Apr to Jun 2020,Turkana County,Turkana North Sub County,Lapur Ward,30,1,29
2020Q2,Apr to Jun 2020,Nakuru County,Njoro Sub County,Lare Ward,40,0,40
2020Q2,Apr to Jun 2020,Kiambu County,Lari Sub County,Lari/Kirenga Ward,61,0,61
2020Q2,Apr to Jun 2020,Elgeyo Marakwet County,Marakwet West Sub County,Lelan Ward,43,0,43
2020Q2,Apr to Jun 2020,West Pokot County,Pokot South Sub County,Lelan Ward,63,2,61
2020Q2,Apr to Jun 2020,Nandi County,Chesumei Sub County,Lelmoko/Ngechek Ward,33,4,29
2020Q2,Apr to Jun 2020,Baringo County,Koibatek Sub County,Lembus Kwen Ward,12,0,12
2020Q2,Apr to Jun 2020,Baringo County,Koibatek Sub County,Lembus Ward,24,0,24
2020Q2,Apr to Jun 2020,Baringo County,Koibatek Sub County,Lembus/Perkerra Ward,3,0,3
2020Q2,Apr to Jun 2020,Nyandarua County,Ndaragwa Sub County,Leshau/Pondo Ward,15,1,14
2020Q2,Apr to Jun 2020,Turkana County,Turkana West Sub County,Letea Ward,4,0,4
2020Q2,Apr to Jun 2020,Mandera County,Lafey Sub County,Libehia Ward,9,0,9
2020Q2,Apr to Jun 2020,Garissa County,Dadaab Sub County,Liboi Ward,9,0,9
2020Q2,Apr to Jun 2020,Mombasa County,Likoni Sub County,Likoni Ward,0,0,0
2020Q2,Apr to Jun 2020,Kakamega County,Likuyani Sub County,Likuyani Ward,89,16,73
2020Q2,Apr to Jun 2020,Kiambu County,Limuru Sub County,Limuru Central Ward,120,0,120
2020Q2,Apr to Jun 2020,Kiambu County,Limuru Sub County,Limuru East Ward,0,0,0
2020Q2,Apr to Jun 2020,Nairobi County,Kibra Sub County,Lindi Ward,4,0,4
2020Q2,Apr to Jun 2020,Kericho County,Bureti Sub County,Litein Ward,54,1,53
2020Q2,Apr to Jun 2020,Turkana County,Turkana South Sub County,Lobokat Ward,15,0,15
2020Q2,Apr to Jun 2020,Samburu County,Samburu Central Sub County,Lodokejek Ward,43,14,29
2020Q2,Apr to Jun 2020,Turkana County,Turkana Central Sub County,Lodwar Township Ward,281,0,281
2020Q2,Apr to Jun 2020,Marsabit County,Laisamis Sub County,Loglogo Ward,23,0,23
2020Q2,Apr to Jun 2020,Turkana County,Loima Sub County,Loima Ward,1,0,1
2020Q2,Apr to Jun 2020,Narok County,Narok South Sub County,Loita Ward,190,20,170
2020Q2,Apr to Jun 2020,Baringo County,Tiaty East Sub County,Loiyamorok Ward,38,0,38
2020Q2,Apr to Jun 2020,Marsabit County,Laisamis Sub County,Loiyangalani Ward,6,0,6
2020Q2,Apr to Jun 2020,Turkana County,Turkana South Sub County,Lokichar Ward,79,13,66
2020Q2,Apr to Jun 2020,Turkana County,Turkana West Sub County,Lokichoggio Ward,12,0,12
2020Q2,Apr to Jun 2020,Turkana County,Loima Sub County,Lokiriama/Lorengippi Ward,17,4,13
2020Q2,Apr to Jun 2020,Turkana County,Turkana East Sub County,Lokori/Kochodin Ward,86,0,86
2020Q2,Apr to Jun 2020,Narok County,Transmara West Sub County,Lolgorian Ward,166,8,158
2020Q2,Apr to Jun 2020,West Pokot County,Pokot Central Sub County,Lomut Ward,54,2,52
2020Q2,Apr to Jun 2020,Kericho County,Kipkelion East Sub County,Londiani Ward,46,0,46
2020Q2,Apr to Jun 2020,Nakuru County,Nakuru West Sub County,London Ward,104,0,104
2020Q2,Apr to Jun 2020,Bomet County,Bomet East Sub County,Longisa Ward,228,12,216
2020Q2,Apr to Jun 2020,Samburu County,Samburu Central Sub County,Loosuk Ward,72,0,72
2020Q2,Apr to Jun 2020,Turkana County,Turkana West Sub County,Lopur Ward,0,0,0
2020Q2,Apr to Jun 2020,Machakos County,Kathiani Sub County,Lower Kaewa/Kaani Ward,17,0,17
2020Q2,Apr to Jun 2020,Nairobi County,Embakasi East Sub County,Lower Savannah Ward,50,13,37
2020Q2,Apr to Jun 2020,Vihiga County,Luanda Sub County,Luanda South Ward,7,0,7
2020Q2,Apr to Jun 2020,Vihiga County,Luanda Sub County,Luanda Township Ward,35,0,35
2020Q2,Apr to Jun 2020,Nairobi County,Ruaraka Sub County,Lucky Summer Ward,0,0,0
2020Q2,Apr to Jun 2020,Vihiga County,Vihiga Sub County,Lugaga-wamuluma Ward,128,4,124
2020Q2,Apr to Jun 2020,Kakamega County,Lugari Sub County,Lugari Ward,28,0,28
2020Q2,Apr to Jun 2020,Kakamega County,Lugari Sub County,Lumakanda Ward,143,0,143
2020Q2,Apr to Jun 2020,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,88,0,88
2020Q2,Apr to Jun 2020,Bungoma County,Sirisia Sub County,Lwandanyi Ward,73,2,71
2020Q2,Apr to Jun 2020,Kakamega County,Lugari Sub County,Lwandeti Ward,82,0,82
2020Q2,Apr to Jun 2020,Vihiga County,Sabatia Sub County,Lyaduywa/Izava Ward,8,0,8
2020Q2,Apr to Jun 2020,Garissa County,Lagdera Sub County,Maalamin Ward,4,0,4
2020Q2,Apr to Jun 2020,Nairobi County,Mathare Sub County,Mabatini Ward,12,0,12
2020Q2,Apr to Jun 2020,Migori County,Nyatike Sub County,Macalder/Kanyarwanda Ward,79,1,78
2020Q2,Apr to Jun 2020,Machakos County,Machakos Sub County,Machakos Central Ward,19,0,19
2020Q2,Apr to Jun 2020,Trans Nzoia County,Saboti Sub County,Machewa Ward,113,3,110
2020Q2,Apr to Jun 2020,Kwale County,Kinango Sub County,Mackinon Road Ward,112,2,110
2020Q2,Apr to Jun 2020,Tana River County,Bura Sub County,Madogo Ward,108,8,100
2020Q2,Apr to Jun 2020,Nakuru County,Naivasha Sub County,Maeilla Ward,71,2,69
2020Q2,Apr to Jun 2020,Bungoma County,Kimilili Sub County,Maeni Ward,27,1,26
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado West Sub County,Magadi Ward,245,24,221
2020Q2,Apr to Jun 2020,Kilifi County,Magarini Sub County,Magarini Ward,81,1,80
2020Q2,Apr to Jun 2020,Kisii County,Bomachoge Borabu Sub County,Magenche Ward,85,5,80
2020Q2,Apr to Jun 2020,Mombasa County,Kisauni Sub County,Magogoni Ward,9,2,7
2020Q2,Apr to Jun 2020,Nyamira County,Manga Sub County,Magombo Ward,43,2,41
2020Q2,Apr to Jun 2020,Tharaka Nithi County,Chuka Sub County,Magumoni Ward,86,0,86
2020Q2,Apr to Jun 2020,Nyandarua County,Kinangop Sub County,Magumu Ward,42,0,42
2020Q2,Apr to Jun 2020,Nyeri County,Mathira East Sub County,Magutu Ward,2,0,2
2020Q2,Apr to Jun 2020,Nyamira County,Nyamira North Sub County,Magwagwa Ward,56,2,54
2020Q2,Apr to Jun 2020,Kakamega County,Lurambi Sub County,Mahiakalo Ward,15,0,15
2020Q2,Apr to Jun 2020,Nyeri County,Nyeri South Sub County,Mahiga Ward,7,0,7
2020Q2,Apr to Jun 2020,Nakuru County,Naivasha Sub County,Mai Mahiu Ward,47,1,46
2020Q2,Apr to Jun 2020,Marsabit County,North Horr Sub County,Maikona Ward,17,0,17
2020Q2,Apr to Jun 2020,Mombasa County,Mvita Sub County,Majengo Ward,17,0,17
2020Q2,Apr to Jun 2020,Narok County,Narok South Sub County,Maji Moto/Naroosura Ward,201,10,191
2020Q2,Apr to Jun 2020,Kisii County,Bomachoge Chache Sub County,Majoge Basi Ward,40,5,35
2020Q2,Apr to Jun 2020,Embu County,Mbeere South Sub County,Makima Ward,7,0,7
2020Q2,Apr to Jun 2020,Nairobi County,Kibra Sub County,Makina Ward,24,0,24
2020Q2,Apr to Jun 2020,Makueni County,Kibwezi West Sub County,Makindu Ward,25,0,25
2020Q2,Apr to Jun 2020,Nairobi County,Makadara Sub County,Makongeni Ward,12,0,12
2020Q2,Apr to Jun 2020,Trans Nzoia County,Cherangany Sub County,Makutano Ward,60,0,60
2020Q2,Apr to Jun 2020,Machakos County,Mwala Sub County,Makutano/Mwala Ward,21,0,21
2020Q2,Apr to Jun 2020,Muranga County,Muranga South Sub County,Makuyu Ward,63,0,63
2020Q2,Apr to Jun 2020,Busia County,Teso North Sub County,Malaba Central Ward,34,1,33
2020Q2,Apr to Jun 2020,Busia County,Teso North Sub County,Malaba North Ward,3,0,3
2020Q2,Apr to Jun 2020,Busia County,Teso North Sub County,Malaba South Ward,32,0,32
2020Q2,Apr to Jun 2020,Kakamega County,Mumias East Sub County,Malaha/Isongo/Makunga Ward,48,1,47
2020Q2,Apr to Jun 2020,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward,51,0,51
2020Q2,Apr to Jun 2020,Nakuru County,Gilgil Sub County,Malewa West Ward,44,0,44
2020Q2,Apr to Jun 2020,Kilifi County,Malindi Sub County,Malindi Town Ward,10,0,10
2020Q2,Apr to Jun 2020,Wajir County,Wajir North Sub County,Malkagufu Ward,0,0,0
2020Q2,Apr to Jun 2020,Mandera County,Banissa Sub County,Malkamari Ward,9,0,9
2020Q2,Apr to Jun 2020,Kakamega County,Malava Sub County,Manda-shivanga Ward,31,1,30
2020Q2,Apr to Jun 2020,Kiambu County,Gatundu North Sub County,Mang'u Ward,47,0,47
2020Q2,Apr to Jun 2020,Nyamira County,Manga Sub County,Manga Ward,64,4,60
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu East Sub County,Manyatta B Ward,12,0,12
2020Q2,Apr to Jun 2020,Narok County,Narok West Sub County,Mara Ward,220,9,211
2020Q2,Apr to Jun 2020,Busia County,Butula Sub County,Marachi Central Ward,34,0,34
2020Q2,Apr to Jun 2020,Busia County,Butula Sub County,Marachi East Ward,51,0,51
2020Q2,Apr to Jun 2020,Busia County,Butula Sub County,Marachi North Ward,26,1,25
2020Q2,Apr to Jun 2020,Busia County,Butula Sub County,Marachi West Ward,31,0,31
2020Q2,Apr to Jun 2020,Kilifi County,Magarini Sub County,Marafa Ward,61,2,59
2020Q2,Apr to Jun 2020,Bungoma County,Webuye East Sub County,Maraka Ward,7,0,7
2020Q2,Apr to Jun 2020,Bungoma County,Kanduyi Sub County,Marakaru/Tuuti Ward,100,1,99
2020Q2,Apr to Jun 2020,Samburu County,Samburu Central Sub County,Maralal Ward,139,3,136
2020Q2,Apr to Jun 2020,Kakamega County,Butere Sub County,Marama Central Ward,83,1,82
2020Q2,Apr to Jun 2020,Kakamega County,Butere Sub County,Marama North Ward,27,0,27
2020Q2,Apr to Jun 2020,Kakamega County,Butere Sub County,Marama South Ward,40,0,40
2020Q2,Apr to Jun 2020,Kakamega County,Butere Sub County,Marama West Ward,76,1,75
2020Q2,Apr to Jun 2020,Kisii County,Kitutu Chache North Sub County,Marani Ward,89,0,89
2020Q2,Apr to Jun 2020,Kakamega County,Butere Sub County,Marenyo-shianda Ward,33,0,33
2020Q2,Apr to Jun 2020,Kilifi County,Kaloleni Sub County,Mariakani Ward,32,0,32
2020Q2,Apr to Jun 2020,Tharaka Nithi County,Igambangombe Sub County,Mariani Ward,17,0,17
2020Q2,Apr to Jun 2020,Nakuru County,Molo Sub County,Mariashoni Ward,19,0,19
2020Q2,Apr to Jun 2020,Baringo County,Marigat Sub County,Marigat Ward,60,1,59
2020Q2,Apr to Jun 2020,Tharaka Nithi County,Tharaka South Sub County,Marimanti Ward,67,0,67
2020Q2,Apr to Jun 2020,Nairobi County,Makadara Sub County,Maringo/Hamza Ward,73,0,73
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,23,4,19
2020Q2,Apr to Jun 2020,Laikipia County,Laikipia West Sub County,Marmanet Ward,82,0,82
2020Q2,Apr to Jun 2020,Marsabit County,Saku Sub County,Marsabit Central Ward,93,6,87
2020Q2,Apr to Jun 2020,Taita Taveta County,Voi Sub County,Marungu Ward,23,0,23
2020Q2,Apr to Jun 2020,Migori County,Kuria West Sub County,Masaba Ward,46,0,46
2020Q2,Apr to Jun 2020,Garissa County,Ijara Sub County,Masalani Ward,27,12,15
2020Q2,Apr to Jun 2020,Kisii County,Bobasi Sub County,Masige East Ward,19,0,19
2020Q2,Apr to Jun 2020,Kisii County,Bobasi Sub County,Masige West Ward,10,0,10
2020Q2,Apr to Jun 2020,Machakos County,Mwala Sub County,Masii Ward,16,0,16
2020Q2,Apr to Jun 2020,Kisii County,Nyaribari Masaba Sub County,Masimba Ward,34,1,33
2020Q2,Apr to Jun 2020,Machakos County,Masinga Sub County,Masinga Central Ward,22,0,22
2020Q2,Apr to Jun 2020,Kisumu County,Muhoroni Sub County,Masogo/Nyang'oma Ward,56,1,55
2020Q2,Apr to Jun 2020,Makueni County,Kibwezi East Sub County,Masongaleni Ward,52,1,51
2020Q2,Apr to Jun 2020,West Pokot County,Pokot Central Sub County,Masool Ward,13,0,13
2020Q2,Apr to Jun 2020,Taita Taveta County,Taveta Sub County,Mata Ward,17,6,11
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado Central Sub County,Matapato North Ward,142,30,112
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado Central Sub County,Matapato South Ward,93,21,72
2020Q2,Apr to Jun 2020,Busia County,Matayos Sub County,Matayos South Ward,34,0,34
2020Q2,Apr to Jun 2020,Nairobi County,Ruaraka Sub County,Mathare North Ward,8,1,7
2020Q2,Apr to Jun 2020,Kitui County,Kitui West Sub County,Matinyani Ward,30,0,30
2020Q2,Apr to Jun 2020,Trans Nzoia County,Saboti Sub County,Matisi Ward,85,1,84
2020Q2,Apr to Jun 2020,Nairobi County,Embakasi Central Sub County,Matopeni/Spring Valley Ward,1,0,1
2020Q2,Apr to Jun 2020,Kilifi County,Kilifi North Sub County,Matsangoni Ward,58,4,54
2020Q2,Apr to Jun 2020,Bungoma County,Webuye West Sub County,Matulo Ward,126,0,126
2020Q2,Apr to Jun 2020,Trans Nzoia County,Endebess Sub County,Matumbei Ward,161,3,158
2020Q2,Apr to Jun 2020,Machakos County,Matungulu Sub County,Matungulu East Ward,24,0,24
2020Q2,Apr to Jun 2020,Machakos County,Matungulu Sub County,Matungulu North Ward,41,0,41
2020Q2,Apr to Jun 2020,Machakos County,Matungulu Sub County,Matungulu West Ward,36,0,36
2020Q2,Apr to Jun 2020,Machakos County,Yatta Sub County,Matuu Ward,28,0,28
2020Q2,Apr to Jun 2020,Nakuru County,Njoro Sub County,Mau Narok Ward,117,0,117
2020Q2,Apr to Jun 2020,Meru County,Igembe South Sub County,Maua Ward,102,0,102
2020Q2,Apr to Jun 2020,Nakuru County,Njoro Sub County,Mauche Ward,59,0,59
2020Q2,Apr to Jun 2020,Kakamega County,Lugari Sub County,Mautuma Ward,83,2,81
2020Q2,Apr to Jun 2020,Makueni County,Makueni Sub County,Mavindini Ward,27,0,27
2020Q2,Apr to Jun 2020,Embu County,Mbeere South Sub County,Mavuria Ward,38,0,38
2020Q2,Apr to Jun 2020,Busia County,Matayos Sub County,Mayenje Ward,3,0,3
2020Q2,Apr to Jun 2020,Kakamega County,Matungu Sub County,Mayoni Ward,82,0,82
2020Q2,Apr to Jun 2020,Bungoma County,Tongaren Sub County,Mbakalo Ward,45,3,42
2020Q2,Apr to Jun 2020,Nakuru County,Gilgil Sub County,Mbaruk/Eburu Ward,16,0,16
2020Q2,Apr to Jun 2020,Embu County,Manyatta Sub County,Mbeti North Ward,8,0,8
2020Q2,Apr to Jun 2020,Embu County,Mbeere South Sub County,Mbeti South Ward,17,0,17
2020Q2,Apr to Jun 2020,Meru County,Tigania West Sub County,Mbeu Ward,37,0,37
2020Q2,Apr to Jun 2020,Muranga County,Kiharu Sub County,Mbiri Ward,31,0,31
2020Q2,Apr to Jun 2020,Makueni County,Makueni Sub County,Mbitini Ward,27,2,25
2020Q2,Apr to Jun 2020,Kitui County,Kitui Rural Sub County,Mbitini Ward,19,0,19
2020Q2,Apr to Jun 2020,Machakos County,Mwala Sub County,Mbiuni Ward,18,0,18
2020Q2,Apr to Jun 2020,Taita Taveta County,Taveta Sub County,Mboghoni Ward,30,0,30
2020Q2,Apr to Jun 2020,Taita Taveta County,Voi Sub County,Mbololo Ward,28,4,24
2020Q2,Apr to Jun 2020,Makueni County,Mbooni Sub County,Mbooni Ward,68,3,65
2020Q2,Apr to Jun 2020,Uasin Gishu County,Kapseret Sub County,Megun Ward,2,1,1
2020Q2,Apr to Jun 2020,Nyamira County,Borabu Sub County,Mekenene Ward,35,0,35
2020Q2,Apr to Jun 2020,Narok County,Narok South Sub County,Melelo Ward,163,2,161
2020Q2,Apr to Jun 2020,Narok County,Narok North Sub County,Melili Ward,148,31,117
2020Q2,Apr to Jun 2020,Nakuru County,Nakuru East Sub County,Menengai Ward,24,0,24
2020Q2,Apr to Jun 2020,Nakuru County,Rongai Sub County,Menengai West Ward,49,0,49
2020Q2,Apr to Jun 2020,Bomet County,Bomet East Sub County,Merigi Ward,88,3,85
2020Q2,Apr to Jun 2020,Elgeyo Marakwet County,Keiyo South Sub County,Metkei Ward,23,0,23
2020Q2,Apr to Jun 2020,Homa Bay County,Mbita Sub County,Mfangano Island Ward,41,1,40
2020Q2,Apr to Jun 2020,Kitui County,Kitui Central Sub County,Miambani Ward,13,0,13
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu Central Sub County,Migosi Ward,41,1,40
2020Q2,Apr to Jun 2020,Kitui County,Mwingi West Sub County,Migwani Ward,54,1,53
2020Q2,Apr to Jun 2020,Nairobi County,Embakasi East Sub County,Mihango Ward,23,3,20
2020Q2,Apr to Jun 2020,Bungoma County,Webuye East Sub County,Mihuu Ward,45,0,45
2020Q2,Apr to Jun 2020,Mombasa County,Jomvu Sub County,Mikindani Ward,15,0,15
2020Q2,Apr to Jun 2020,Tana River County,Galole Sub County,Mikinduni Ward,35,2,33
2020Q2,Apr to Jun 2020,Meru County,Tigania East Sub County,Mikinduri Ward,54,1,53
2020Q2,Apr to Jun 2020,Bungoma County,Tongaren Sub County,Milima Ward,10,0,10
2020Q2,Apr to Jun 2020,Nyandarua County,Olkalou Sub County,Mirangine Ward,11,0,11
2020Q2,Apr to Jun 2020,Mombasa County,Jomvu Sub County,Miritini Ward,17,0,17
2020Q2,Apr to Jun 2020,Bungoma County,Webuye West Sub County,Misikhu Ward,65,0,65
2020Q2,Apr to Jun 2020,Machakos County,Kathiani Sub County,Mitamboni Ward,19,0,19
2020Q2,Apr to Jun 2020,Tharaka Nithi County,Muthambi Sub County,Mitheru Ward,4,0,4
2020Q2,Apr to Jun 2020,Meru County,Imenti South Sub County,Mitunguu Ward,97,2,95
